CAR_NAME,BRAND,SUB_BRAND,MODAL_YEAR,AMOUNT,FUEL_TYPE,DIS_COVERED,EMI_AMOUNT,Operate
Hyundai i20,Hyundai,i20,2012,323000,PETROL,62951,"7,185",MANUAL
Maruti Celerio,Maruti,Celerio,2014,628000,PETROL,96979,"12,278",MANUAL
Tata Tiago,Tata,Tiago,2020,401999,PETROL,26526,"7,859",AUTOMATIC
Tata Tiago,Tata,Tiago,2017,766000,PETROL,67872,"14,975",MANUAL
Renault Duster,Renault,Duster,2018,280000,PETROL,69110,"6,228",AUTOMATIC
Maruti Alto,Maruti,Alto,2014,1689999,PETROL,63792,"32,168",MANUAL
KIA CARENS,KIA,CARENS,2022,581000,PETROL,11437,"11,359",MANUAL
Honda Jazz,Honda,Jazz,2017,1035000,PETROL,59350,"19,700",AUTOMATIC
Mahindra XUV300,Mahindra,XUV300,2023,1081000,PETROL,10190,"20,570",MANUAL
Renault Duster,Renault,Duster,2021,599000,PETROL,22588,"11,711",MANUAL
Hyundai i20,Hyundai,i20,2016,411000,DIESEL,82644,"10,823",MANUAL
Hyundai i10,Hyundai,i10,2013,420000,PETROL,61285,"8,211",MANUAL
Maruti Celerio,Maruti,Celerio,2016,721000,PETROL,28404,"14,096",AUTOMATIC
Renault Duster,Renault,Duster,2018,503000,PETROL,29311,"9,838",AUTOMATIC
Hyundai Grand,Hyundai,Grand,2017,338000,PETROL,28474,"8,901",MANUAL
Honda Brio,Honda,Brio,2013,760000,PETROL,27050,"14,858",MANUAL
Ford Ecosport,Ford,Ecosport,2018,397000,PETROL,48498,"7,761",MANUAL
Maruti Wagon,Maruti,Wagon,2016,863000,PETROL,40428,"16,426",AUTOMATIC
Maruti Baleno,Maruti,Baleno,2021,627000,PETROL,29413,"12,258",AUTOMATIC
Ford Ecosport,Ford,Ecosport,2016,540000,DIESEL,98741,"10,557",MANUAL
Hyundai Elite,Hyundai,Elite,2016,384000,PETROL,55009,"8,535",MANUAL
Hyundai Grand,Hyundai,Grand,2014,479000,PETROL,76725,"9,365",MANUAL
Maruti S,Maruti,S,2020,436000,PETROL,24864,"8,524",AUTOMATIC
Maruti S,Maruti,S,2020,279000,PETROL,21196,"9,283",MANUAL
Maruti A,Maruti,A,2012,708000,PETROL,71079,"13,842",MANUAL
Maruti Baleno,Maruti,Baleno,2018,404000,PETROL,26449,"7,898",MANUAL
Maruti Celerio,Maruti,Celerio,2015,607000,PETROL,52643,"28,574",AUTOMATIC
Maruti Ertiga,Maruti,Ertiga,2012,397000,DIESEL,106213,"8,831",MANUAL
Maruti Celerio,Maruti,Celerio,2017,469000,PETROL,30660,"9,169",AUTOMATIC
Mahindra XUV500,Mahindra,XUV500,2014,771000,DIESEL,92368,"20,303",MANUAL
Hyundai Creta,Hyundai,Creta,2019,1122000,DIESEL,43987,"21,356",MANUAL
Maruti Baleno,Maruti,Baleno,2017,648000,PETROL,22396,"12,669",MANUAL
Honda Jazz,Honda,Jazz,2016,554000,PETROL,74069,"10,831",AUTOMATIC
Tata NEXON,Tata,NEXON,2020,1005000,PETROL,46447,"19,129",MANUAL
Hyundai Grand,Hyundai,Grand,2015,419000,PETROL,99767,"8,192",MANUAL
Maruti Alto,Maruti,Alto,2016,416000,PETROL,15385,"8,133",AUTOMATIC
Honda Jazz,Honda,Jazz,2015,424000,PETROL,99867,"8,289",MANUAL
Maruti Celerio,Maruti,Celerio,2016,442000,PETROL,62447,"8,646",AUTOMATIC
Maruti Wagon,Maruti,Wagon,2015,387000,PETROL,27184,"7,566",MANUAL
Hyundai Elite,Hyundai,Elite,2019,711000,PETROL,25298,"13,900",MANUAL
Toyota Glanza,Toyota,Glanza,2019,688000,PETROL,53435,"13,451",MANUAL
Hyundai Grand,Hyundai,Grand,2017,476999,PETROL,27218,"9,325",MANUAL
Honda WR-V,Honda,WR-V,2017,776000,DIESEL,56702,"15,171",MANUAL
Toyota Glanza,Toyota,Glanza,2021,798000,PETROL,21442,"15,601",MANUAL
Maruti Swift,Maruti,Swift,2016,591000,PETROL,14031,"11,554",MANUAL
Maruti Swift,Maruti,Swift,2014,482000,PETROL,61615,"10,722",MANUAL
Hyundai Creta,Hyundai,Creta,2020,1489000,PETROL,38702,"28,342",AUTOMATIC
Maruti Celerio,Maruti,Celerio,2017,454000,PETROL,57214,"8,874",MANUAL
Hyundai Grand,Hyundai,Grand,2015,472000,PETROL,39916,"9,228",MANUAL
Tata Tiago,Tata,Tiago,2016,359000,PETROL,86034,"7,019",MANUAL
Hyundai NEW,Hyundai,NEW,2020,811999,PETROL,28806,"15,462",MANUAL
Honda City,Honda,City,2015,604000,PETROL,52322,"11,808",MANUAL
Maruti Baleno,Maruti,Baleno,2016,531000,PETROL,83635,"10,381",AUTOMATIC
Renault Duster,Renault,Duster,2020,744000,PETROL,95849,"14,545",MANUAL
Hyundai Grand,Hyundai,Grand,2018,498000,PETROL,33903,"9,736",MANUAL
Maruti Swift,Maruti,Swift,2023,761000,PETROL,9075,"14,878",MANUAL
Maruti Swift,Maruti,Swift,2018,665000,PETROL,54397,"13,001",AUTOMATIC
Nissan MAGNITE,Nissan,MAGNITE,2022,918000,PETROL,5275,"17,473",AUTOMATIC
Maruti Swift,Maruti,Swift,2014,420000,PETROL,95421,"9,343",MANUAL
MG HECTOR,MG,HECTOR,2019,1447000,DIESEL,49559,"27,542",MANUAL
Maruti Baleno,Maruti,Baleno,2018,669000,PETROL,52083,"13,079",MANUAL
Maruti Celerio,Maruti,Celerio,2018,463000,PETROL,19171,"9,052",MANUAL
Tata Tiago,Tata,Tiago,2016,441000,PETROL,48738,"8,622",MANUAL
Tata PUNCH,Tata,PUNCH,2023,953999,PETROL,1848,"18,159",AUTOMATIC
Maruti Baleno,Maruti,Baleno,2017,664000,PETROL,49591,"12,980",MANUAL
