CAR_NAME,BRAND,SUB_BRAND,MODAL_YEAR,AMOUNT,FUEL_TYPE,DIS_COVERED,EMI_AMOUNT,Operate
Maruti Alto,Maruti,Alto,2014,602000,PETROL,49599,"11,769",MANUAL
Honda Jazz,Honda,Jazz,2015,367000,PETROL,55600,"7,169",AUTOMATIC
Maruti Wagon,Maruti,Wagon,2015,357000,PETROL,45789,"11,859",MANUAL
Honda Jazz,Honda,Jazz,2012,1168000,PETROL,32864,"22,232",MANUAL
Honda City,Honda,City,2019,562000,PETROL,30264,"10,993",AUTOMATIC
Hyundai Grand,Hyundai,Grand,2018,577000,PETROL,50840,"11,280",AUTOMATIC
Maruti S,Maruti,S,2023,499000,PETROL,11631,"9,756",AUTOMATIC
Hyundai Grand,Hyundai,Grand,2015,1134000,PETROL,50784,"21,584",MANUAL
KIA SONET,KIA,SONET,2021,438000,PETROL,21854,"8,563",MANUAL
Maruti Wagon,Maruti,Wagon,2016,778000,PETROL,35322,"15,210",AUTOMATIC
Honda Jazz,Honda,Jazz,2020,1250000,PETROL,62299,"23,794",MANUAL
Hyundai VENUE,Hyundai,VENUE,2022,227999,PETROL,15703,"10,733",AUTOMATIC
Hyundai Eon,Hyundai,Eon,2011,1312000,PETROL,58637,"24,974",MANUAL
KIA SONET,KIA,SONET,2021,1140000,DIESEL,27903,"21,699",AUTOMATIC
Honda City,Honda,City,2019,938000,PETROL,34447,"17,854",AUTOMATIC
Hyundai VENUE,Hyundai,VENUE,2019,470000,PETROL,44309,"12,377",AUTOMATIC
Honda City,Honda,City,2013,651000,PETROL,103965,"12,727",MANUAL
Maruti Baleno,Maruti,Baleno,2017,295000,PETROL,79589,"7,768",AUTOMATIC
Maruti Alto,Maruti,Alto,2013,434999,PETROL,46661,"8,496",MANUAL
Maruti Celerio,Maruti,Celerio,2016,648000,PETROL,62383,"12,670",AUTOMATIC
Maruti Celerio,Maruti,Celerio,2023,2080000,PETROL,3951,"39,591",AUTOMATIC
MG HECTOR,MG,HECTOR,2022,675000,DIESEL,15431,"13,191",MANUAL
Maruti Dzire,Maruti,Dzire,2019,1670000,PETROL,58029,"31,793",MANUAL
KIA SELTOS,KIA,SELTOS,2021,601000,PETROL,30378,"15,827",AUTOMATIC
Renault Duster,Renault,Duster,2014,1292000,DIESEL,80922,"24,592",MANUAL
KIA SONET,KIA,SONET,2021,1872000,PETROL,32031,"35,632",AUTOMATIC
